"","ID","AIClogistic","BIClogistic","AICgompertz","BICgompertz","AICbaranyi","BICbaranyi","AICbuchanan","BICbuchanan"
"124","Pseudomonas spp._2_Cooked Chicken Breast","-8.99369408983297","-7.78335371785679","-7.05130412894409","-5.53837866397386","-8.99265685939707","-7.47973139442684","-6.80142857098321","-5.28850310601298"
"125","Pseudomonas spp._4_Cooked Chicken Breast","-2.36899317707025","-3.20195530015803","2.01906999755775","0.97786734369802","-4.56056767066329","-5.60177032452301","NA","NA"
"126","Pseudomonas spp._7_Cooked Chicken Breast","-18.2202216402186","-15.9604242103724","-34.1862743545963","-31.3615275672886","-18.3948368535231","-15.5700900662154","-13.6776075173745","-10.8528607300668"
"127","Pseudomonas spp._10_Cooked Chicken Breast","0.63649543746109","2.22807652865457","-3.25591046930668","-1.26643410531483","NA","NA","NA","NA"
"128","Pseudomonas spp._15_Cooked Chicken Breast","-2.37827988806863","-0.43865328891663","-12.955698148864","-10.531164899924","NA","NA","3.07775807116022","5.50229132010022"
"129","Pseudomonas spp._20_Cooked Chicken Breast","-2.25437028367482","-1.46547197432994","-4.8619509711717","-3.8758280844906","-0.619800977747193","0.366321908933905","4.03366577706417","5.01978866374527"
"130","Aerobic Psychotropic._2_Raw Chicken Breast","-22.5637368421239","-21.3533964701477","-28.5889393939444","-27.0760139289742","-24.516345645282","-23.0034201803118","NA","NA"
"131","Aerobic Psychotropic._4_Raw Chicken Breast","-5.68711378407077","-6.52007590715855","-6.31424803837881","-7.35545069223853","-6.01492134215414","-7.05612399601386","NA","NA"
"132","Aerobic Psychotropic._7_Raw Chicken Breast","-3.51182532567273","-1.25202789582658","NA","NA","NA","NA","NA","NA"
"133","Aerobic Psychotropic._10_Raw Chicken Breast","-8.76786716124882","-6.82824056209681","-13.5828089010054","-11.1582756520654","-8.60198097028801","-6.17744772134801","-8.57324796378018","-6.14871471484017"
"134","Aerobic Psychotropic._15_Raw Chicken Breast","NA","NA","NA","NA","NA","NA","NA","NA"
"135","Aerobic Psychotropic._20_Raw Chicken Breast","-8.39134722455971","-8.07358105784036","-5.60718943141654","-5.20998172301736","-7.89111739992121","-7.49390969152203","-9.73755473369329","-9.34034702529411"
"136","Aerobic Psychotropic._2_Salted Chicken Breast","-16.5674940939214","-15.3571537219452","-28.7305982281748","-27.2176727632046","-16.8317968107545","-15.3188713457843","-5.31896696352865","-3.80604149855842"
"137","Aerobic Psychotropic._4_Salted Chicken Breast","-13.6169611769997","-14.4499233000875","-10.1154772384354","-11.1566798922951","-18.2873987015354","-19.3286013553951","NA","NA"
"138","Aerobic Psychotropic._7_Salted Chicken Breast","-20.5488144757103","-17.9925851572493","NA","NA","NA","NA","-20.9828676586999","-17.7875810106236"
"139","Aerobic Psychotropic._10_Salted Chicken Breast","-14.041361405573","-12.101734806421","-12.536468701718","-10.111935452778","-15.9995485074745","-13.5750152585345","-16.303319687414","-13.878786438474"
"140","Aerobic Psychotropic._15_Salted Chicken Breast","-12.0716368665268","-11.2827385571819","-15.9510754466276","-14.9649525599465","-12.1184048633812","-11.1322819767001","-4.36712578927106","-3.38100290258997"
"141","Aerobic Psychotropic._20_Salted Chicken Breast","-4.20823564099935","-5.04119776408713","-3.60627326850674","-4.64747592236647","NA","NA","NA","NA"
"142","Aerobic Psychotropic._2_Cooked Chicken Breast","-6.06971022280644","-5.28081191346156","-12.9351848928887","-11.9490620062076","-3.68966557456803","-2.70354268788693","3.60958801241779","4.59571089909889"
"143","Aerobic Psychotropic._4_Cooked Chicken Breast","-9.09058939492994","-9.30694879870869","-8.45999409233378","-8.73044334705721","-6.39220622612746","-6.6626554808509","-3.21337971837565","-3.48382897309909"
"144","Aerobic Psychotropic._7_Cooked Chicken Breast","-11.6511472416843","-9.39134981183819","-7.84699998453852","-5.02225319723083","-13.5576900250772","-10.7329432377695","-16.0212632232596","-13.1965164359519"
"145","Aerobic Psychotropic._10_Cooked Chicken Breast","-10.0083645349353","-8.06873793578334","-17.3502478873387","-14.9257146383987","-8.89769759995104","-6.47316435101104","NA","NA"
"146","Aerobic Psychotropic._15_Cooked Chicken Breast","-5.88668534081584","-5.09778703147096","-4.74410463347292","-3.75798174679182","-9.53714830203623","-8.55102541535513","NA","NA"
"147","Aerobic Psychotropic._20_Cooked Chicken Breast","-12.4412474528494","-11.6523491435045","-10.5289285986198","-9.54280571193872","-12.2265926446215","-11.2404697579404","-17.6238279660193","-16.6377050793382"
"148","Aerobic Mesophilic._2_Raw Chicken Breast","-27.6156621279761","-26.4053217559999","-18.897666605628","-17.3847411406578","-22.1957330932607","-20.6828076282905","-13.1855047904218","-11.6725793254515"
"149","Aerobic Mesophilic._7_Raw Chicken Breast","-10.3690808314613","-7.8128515130003","-9.64547637458699","-6.4501897265107","-7.04352959941926","-3.84824295134297","-1.87158044613519","1.3237062019411"
"150","Aerobic Mesophilic._4_Raw Chicken Breast","-13.1389724794973","-13.3553318832761","-10.1729834633587","-10.4434327180821","-15.2151202451976","-15.4855694999211","-10.0553679065444","-10.3258171612679"
"151","Aerobic Mesophilic._10_Raw Chicken Breast","-6.8809187540205","-5.67057838204432","-11.0710091824633","-9.55808371749306","-8.06653478097022","-6.55360931599999","NA","NA"
"152","Aerobic Mesophilic._15_Raw Chicken Breast","-9.70315791213221","-8.91425960278733","-6.47966524108564","-5.49354235440454","-8.88553900639866","-7.89941611971756","-8.1376205865955","-7.1514976999144"
"153","Aerobic Mesophilic._20_Raw Chicken Breast","-9.02696402510583","-8.70919785838649","-6.10999398269741","-5.71278627429823","-10.0381586158494","-9.64095090745026","-13.3417154976522","-12.944507789253"
"154","Aerobic Mesophilic._2_Salted Chicken Breast","-19.2552124728401","-18.044872100864","-10.5621600183178","-9.0492345533476","-19.2895103736163","-17.7765849086461","-14.3453499861445","-12.8324245211743"
